,Car Name,Price,EMI,Features,Location,Car Brand,Model,Model Year,Gear,Driven (Kms),Ownership,Fuel,EMI (monthly)
1649,2017 Renault KwidRXL1.0 EASY-R AT Automatic,"3,41,799","â‚¹7,603/month","7,801 km
2nd Owner
Petrol",Mumbai,Renault,['KwidRXL1.0 EASY-R AT'],2017,['Automatic'],"7,801",2,Petrol,"7,603"
1650,2018 Maruti Wagon R 1.0LXI CNG Manual,"5,31,999","â‚¹11,834/month","16,226 km
1st Owner
Petrol + CNG",Mumbai,Maruti,['Wagon R 1.0LXI CNG'],2018,['Manual'],"16,226",1,Petrol + CNG,"11,834"
1651,2019 Jeep Compass1.4 LIMITED PLUS AT Automatic,"20,45,099","â‚¹45,492/month","19,830 km
1st Owner
Petrol",Mumbai,Jeep,['Compass1.4 LIMITED PLUS AT'],2019,['Automatic'],"19,830",1,Petrol,"45,492"
1652,2010 Maruti A StarVXI Manual,"2,23,199","â‚¹4,965/month","25,211 km
2nd Owner
Petrol",Mumbai,Maruti,['A StarVXI'],2010,['Manual'],"25,211",2,Petrol,"4,965"
1653,2014 Maruti CiazVDI Manual,"5,42,699","â‚¹12,072/month","1,35,893 km
1st Owner
Diesel",Mumbai,Maruti,['CiazVDI'],2014,['Manual'],"1,35,893",1,Diesel,"12,072"
1654,2010 Hyundai i20MAGNA O 1.2 Manual,"2,91,199","â‚¹6,478/month","28,434 km
2nd Owner
Petrol",Mumbai,Hyundai,['i20MAGNA O 1.2'],2010,['Manual'],"28,434",2,Petrol,"6,478"
1655,2014 Honda Amaze1.5 EMT I DTEC Manual,"3,87,799","â‚¹8,626/month","85,593 km
1st Owner
Diesel",Mumbai,Honda,['Amaze1.5 EMT I DTEC'],2014,['Manual'],"85,593",1,Diesel,"8,626"
1656,2014 Hyundai XcentS 1.2 Manual,"4,05,499","â‚¹9,020/month","61,255 km
1st Owner
Petrol",Mumbai,Hyundai,['XcentS 1.2'],2014,['Manual'],"61,255",1,Petrol,"9,020"
1657,2016 Maruti CelerioZDI Manual,"4,08,899","â‚¹9,096/month","30,840 km
1st Owner
Diesel",Mumbai,Maruti,['CelerioZDI'],2016,['Manual'],"30,840",1,Diesel,"9,096"
1658,2017 Hyundai Elite i20ASTA 1.2 (O) Manual,"5,85,599","â‚¹13,026/month","37,061 km
1st Owner
Petrol",Mumbai,Hyundai,['Elite i20ASTA 1.2 (O)'],2017,['Manual'],"37,061",1,Petrol,"13,026"
1659,2019 Maruti SwiftZXI AMT Automatic,"7,59,699","â‚¹16,899/month","4,888 km
1st Owner
Petrol",Mumbai,Maruti,['SwiftZXI AMT'],2019,['Automatic'],"4,888",1,Petrol,"16,899"
1660,2009 Maruti A StarVXI Manual,"1,93,899","â‚¹4,313/month","94,540 km
1st Owner
Petrol",Mumbai,Maruti,['A StarVXI'],2009,['Manual'],"94,540",1,Petrol,"4,313"
1661,2016 Datsun Redi GoT (O) Manual,"2,31,699","â‚¹5,154/month","14,426 km
1st Owner
Petrol",Mumbai,Datsun,['Redi GoT (O)'],2016,['Manual'],"14,426",1,Petrol,"5,154"
1662,2020 Renault TRIBER1.0 RXT Manual,"6,51,599","â‚¹14,494/month","3,971 km
1st Owner
Petrol",Mumbai,Renault,['TRIBER1.0 RXT'],2020,['Manual'],"3,971",1,Petrol,"14,494"
1663,2015 Hyundai Elite i20MAGNA 1.4 CRDI Manual,"5,35,399","â‚¹11,910/month","42,107 km
1st Owner
Diesel",Mumbai,Hyundai,['Elite i20MAGNA 1.4 CRDI'],2015,['Manual'],"42,107",1,Diesel,"11,910"
1664,2019 MG HECTORSHARP DCT PETROL Automatic,"16,89,299","â‚¹37,578/month","28,225 km
1st Owner
Petrol",Mumbai,MG,['HECTORSHARP DCT PETROL'],2019,['Automatic'],"28,225",1,Petrol,"37,578"
1665,2015 Mahindra XUV500W8 FWD Manual,"7,98,599","â‚¹17,764/month","42,214 km
1st Owner
Diesel",Mumbai,Mahindra,['XUV500W8 FWD'],2015,['Manual'],"42,214",1,Diesel,"17,764"
1666,2017 Jeep Compass2.0 LIMITED Manual,"14,52,399","â‚¹32,308/month","15,696 km
1st Owner
Diesel",Mumbai,Jeep,['Compass2.0 LIMITED'],2017,['Manual'],"15,696",1,Diesel,"32,308"
1667,2017 Maruti DzireVXI AMT Automatic,"6,09,399","â‚¹13,556/month","67,513 km
1st Owner
Petrol",Mumbai,Maruti,['DzireVXI AMT'],2017,['Automatic'],"67,513",1,Petrol,"13,556"
1668,2016 Hyundai Grand i10ASTA AT 1.2 KAPPA VTVT Automatic,"5,27,699","â‚¹11,738/month","29,826 km
1st Owner
Petrol",Mumbai,Hyundai,['Grand i10ASTA AT 1.2 KAPPA VTVT'],2016,['Automatic'],"29,826",1,Petrol,"11,738"
1669,2016 Tata TiagoXZ 1.2 REVOTRON Manual,"4,29,899","â‚¹9,563/month","28,615 km
1st Owner
Petrol",Mumbai,Tata,['TiagoXZ 1.2 REVOTRON'],2016,['Manual'],"28,615",1,Petrol,"9,563"
